Game Names,NombreGraficaRequerida,RamDeGraficaNecesaria(GB)
Fortnite System Requirements,Intel HD 4000 or Radeon HD 7870,4
Valorant System Requirements,Intel HD 4000,4
Call of Duty Modern Warfare 3 System Requirements,NVIDIA GeForce 8600 GT,2
Call of Duty WW2 System Requirements,AMD Radeon HD 7850,8
FIFA 20 System Requirements,NVIDIA GeForce GTX 660,8
eFootball PES 2020 System Requirements,AMD Radeon HD 7870,4
Call of Duty Ghosts System Requirements,NVIDIA GeForce 510,4
Halo Infinite System Requirements,AMD Radeon RX 570,8
Call of Duty Black Ops 2 System Requirements,ATI Radeon HD 3870,2
Battlefield 5 System Requirements,NVIDIA GeForce GTX 1050,8
League of Legends System Requirements,AMD Radeon HD 6570,2
Battlefield 4 System Requirements,ATI Radeon HD 3870,4
FIFA 21 System Requirements,NVIDIA GeForce GTX 660,8
Call of Duty Black Ops 3 System Requirements,AMD Radeon HD 6970,6
Call of Duty: Modern Warfare System Requirements,AMD Radeon R9 380,8
FIFA 19 System Requirements,AMD Radeon R7 260,8
PUBG: Battlegrounds System Requirements,AMD Radeon R9 270 / R7 370,2
Minecraft System Requirements,Intel HD 4000,4
Tom Clancys Rainbow Six Siege System Requirements,NVIDIA GeForce GTX 460,8
Call of Duty Modern Warfare 2 System Requirements,NVIDIA GeForce GTX 960 or Radeon RX 470,8
eFootball™ 2022 System Requirements,AMD Radeon HD 7790,4
FIFA 22 System Requirements,AMD Radeon HD 7850,8
Battlefield 2042 System Requirements,AMD Radeon RX 560,6
Rocket League System Requirements,ATI Radeon HD 4850,8
NBA 2K23 System Requirements,AMD Radeon HD 7770,4
Battlefield 1 System Requirements,NVIDIA GeForce GTX 660,4
Call of Duty: Warzone System Requirements,NVIDIA GeForce GTX 670 or GeForce GTX 1650 or Radeon HD 7950,8
eFootball PES 2021 System Requirements,AMD Radeon HD 7870,8
FIFA 23 System Requirements,NVIDIA GeForce GTX 1050 Ti,4
GTA 5 System Requirements,NVIDIA GeForce 9800 GT or Radeon HD 4870,8
Call of Duty: Warzone 2 System Requirements,NVIDIA GeForce GTX 960 or Radeon RX 470,8
PUBG Lite System Requirements,Intel HD 4000,2
Call of Duty Infinite Warfare System Requirements,AMD Radeon HD 7850,4
Madden NFL 23 System Requirements,AMD Radeon RX 460,8
Call of Duty: World at War System Requirements,AMD Radeon X1600,8
Injustice 2 System Requirements,AMD Radeon R9 270,8
NBA 2K21 System Requirements,AMD Radeon HD 7770,8
Halo: The Master Chief Collection System Requirements,AMD Radeon HD 6850,8
Battlefield 3 System Requirements,ATI Radeon 3000,2
Call of Duty 4: Modern Warfare System Requirements,NVIDIA GeForce 6600,8
Call of Duty: Black Ops - Cold War System Requirements,NVIDIA GeForce GTX 670,4
Call of Duty Black Ops System Requirements,NVIDIA GeForce 8600 GT,4
Call of Duty Modern Warfare Remastered System Requirements,AMD Radeon HD 7850,4
Counter-Strike System Requirements,NVIDIA GeForce 8600 GT,8
Call of Duty: Vanguard System Requirements,AMD Radeon RX 470,6
Call of Duty Advanced Warfare System Requirements,ATI Radeon HD 5870,4
Call of Duty Modern Warfare 2 Remastered System Requirements,NVIDIA GeForce GTX 670,4
NBA 2K22 System Requirements,AMD Radeon HD 7770,4
NBA 2K20 System Requirements,AMD Radeon HD 7770,8
Call of Duty System Requirements,ATI FireGL T2-128,2
Madden NFL 22 System Requirements,AMD Radeon RX 460,8
Battlefield Hardline System Requirements,ATI Radeon HD 5770,8
Call of Duty 2 System Requirements,NVIDIA GeForce 510,4
Gears 5 System Requirements,AMD Radeon R9 280,4
NBA 2K19 System Requirements,AMD Radeon HD 7770,4
Call of Duty: Black Ops 4 System Requirements,NVIDIA GeForce GTX 1050,8
